"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4","4","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"2","D1, D2","2","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"3","J1","1","Conn_01x04_Pin","Connector_PinHeader_2.00mm:PinHeader_1x04_P2.00mm_Vertical",""
"4","J2","1","Barrel_Jack","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal",""
"5","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11","11","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"6","SW1, SW2","2","SW_Push","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_Copal_CHS-01B_W7.62mm_P1.27mm",""
"7","SW3","1","SW_SPST","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical",""
"8","SW4, SW5, SW6","3","SW_DIP_x01","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical",""
"9","U1","1","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32",""
"10","U2","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"11","U3","1","~","Connector_PinHeader_2.00mm:PinHeader_1x05_P2.00mm_Vertical",""
"12","U4","1","MP1584","footprints_laserdinges:U1584",""
"13","U5","1","~","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical",""
